University,Faculty,Department,"Title, Name and Surname"
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Atac Sonmez
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Mutercim Ve Tercumanlik Bolumu,Profesor Atalay Gunduz
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Profesor Aybuke Pabuccu Akis
Dokuz Eylul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Profesor Ayca Tokuc
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayca Arzu Sayiner
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Aydin Sanli
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayfer Dayi
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayfer Ulgenalp
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Aygun Ekin Meric
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayhan Abaci
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Muzikoloji Bolumu,Profesor Ayhan Erol
Dokuz Eylul Universitesi,Izmir Devlet Konservatuvari,Muzik Bolumu,Profesor Ayhan Kerim Gurerk
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Aykut Kefi
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Muzikoloji Bolumu,Profesor Aykut Baris Cerezcioglu
Dokuz Eylul Universitesi,Fen Fakultesi,Istatistik Bolumu,Profesor Aylin Alin
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aylin Ozgen Alpaydin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Metalurji Ve Malzeme Muhendisligi Bolumu,Profesor Aylin Ziylan
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aynur Akay
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Geleneksel Turk Sanatlari Bolumu,Profesor Aynur Maktal
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Aysun Aksit
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Aysun Kapucugil Ikiz
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Ayse Filibeli
